Customer_ID,Days_Since_Last_Purchase,Total_Orders,Total_Spent,R_Score,F_score,M_score,Final_RFM_Score,Segment
10039,16,6,2680.1117540549294,5,4,3,12,Loyal Customers
10040,69,2,1076.794613671612,3,1,1,5,At Risk
10041,104,3,2196.143406920707,2,1,3,6,At Risk
10042,61,2,527.1340655299272,3,1,1,5,At Risk
10043,132,3,2025.065652550916,2,1,2,5,At Risk
10044,116,5,2783.422465180575,2,3,4,9,Potential Loyalists
10045,14,7,2925.7317031499874,5,4,4,13,Champions
10046,14,4,1133.388916363231,5,2,1,8,Potential Loyalists
10047,54,1,301.29014987057974,3,1,1,5,At Risk
10048,126,4,1509.4860204891504,2,2,2,6,At Risk
10049,123,5,2220.341188940572,2,3,3,8,Potential Loyalists
10050,98,5,1898.3447812840488,2,3,2,7,Potential Loyalists
10051,13,8,3446.125391418286,5,5,4,14,Champions
10052,100,6,1894.967479121716,2,4,2,8,Potential Loyalists
10053,34,3,1296.8190974913414,4,1,1,6,At Risk
10054,198,4,2204.480587257375,1,2,3,6,At Risk
10055,157,5,3058.494191304687,1,3,4,8,Potential Loyalists
10056,27,7,2188.3855820356757,4,4,3,11,Loyal Customers
10057,56,7,4043.338783418417,3,4,5,12,Loyal Customers
10058,11,3,1379.5804786367144,5,1,1,7,Potential Loyalists
10059,1,8,3032.307984165486,5,5,4,14,Champions
10060,2,6,3829.392343320385,5,4,5,14,Champions
10061,164,6,2593.046725765525,1,4,3,8,Potential Loyalists
10062,18,6,3277.980665782265,5,4,4,13,Champions
10063,60,6,2578.0766564470564,3,4,3,10,Loyal Customers
10064,16,8,3576.798949969636,5,5,5,15,Champions
10065,4,7,3601.682094017845,5,4,5,14,Champions
10066,16,8,3535.3682377172977,5,5,4,14,Champions
10067,45,7,4785.619219358107,3,4,5,12,Loyal Customers
10068,75,5,2392.011616775567,3,3,3,9,Potential Loyalists
10069,6,6,3164.737852325844,5,4,4,13,Champions
10070,25,8,4190.489742875496,4,5,5,14,Champions
10071,111,1,752.8574056633737,2,1,1,4,At Risk
10072,71,10,5216.243637052558,3,5,5,13,Champions
10073,13,7,2464.3392016239163,5,4,3,12,Loyal Customers
10074,33,6,2893.203155608867,4,4,4,12,Loyal Customers
10075,240,2,752.4077177837487,1,1,1,3,Lost
10076,74,4,2415.774151922648,3,2,3,8,Potential Loyalists
10077,55,6,1955.5426448076605,3,4,2,9,Potential Loyalists
10078,233,2,1007.6115157062004,1,1,1,3,Lost
10079,3,7,4245.436753860005,5,4,5,14,Champions
10080,95,4,1572.8654879134206,2,2,2,6,At Risk
10081,100,4,1479.1312853216657,2,2,2,6,At Risk
10082,21,6,3612.725751043896,4,4,5,13,Champions
10083,56,8,3356.010049184164,3,5,4,12,Loyal Customers
10084,289,1,119.69709542913684,1,1,1,3,Lost
10085,54,4,2131.1365529699024,3,2,3,8,Potential Loyalists
10086,152,6,3001.8015688290075,1,4,4,9,Potential Loyalists
10087,176,2,999.3991018003372,1,1,1,3,Lost
10088,139,7,3514.053607263721,1,4,4,9,Potential Loyalists
10089,10,5,2645.281849085744,5,3,3,11,Loyal Customers
10090,10,7,4477.078682230747,5,4,5,14,Champions
10091,1,4,474.02544762114,5,2,1,8,Potential Loyalists
10092,29,6,2101.678180300826,4,4,3,11,Loyal Customers
10093,26,6,1715.4607095711508,4,4,2,10,Loyal Customers
10094,27,5,4585.581357546848,4,3,5,12,Loyal Customers
10095,125,4,2083.972793013844,2,2,2,6,At Risk
10096,42,4,1576.9564381501682,4,2,2,8,Potential Loyalists
10097,96,6,2523.061563773233,2,4,3,9,Potential Loyalists
10098,5,5,1524.8294004057816,5,3,2,10,Loyal Customers
10099,84,7,5131.740638282867,2,4,5,11,Loyal Customers
10100,23,4,2229.9073057941887,4,2,3,9,Potential Loyalists
10101,150,7,3420.102153467499,1,4,4,9,Potential Loyalists
10102,83,5,1639.4915843578135,2,3,2,7,Potential Loyalists
10103,32,5,3139.7274686639344,4,3,4,11,Loyal Customers
10104,130,3,1847.222043000691,2,1,2,5,At Risk
10105,13,7,4245.405217271714,5,4,5,14,Champions
10106,142,9,4789.675741299076,1,5,5,11,Loyal Customers
10107,51,7,2152.2882382032967,3,4,3,10,Loyal Customers
10108,87,7,3516.953120977154,2,4,4,10,Loyal Customers
10109,146,3,1254.7371191951,1,1,1,3,Lost
10110,122,3,1103.4258221169089,2,1,1,4,At Risk
10111,11,5,2704.6798990561683,5,3,3,11,Loyal Customers
10112,4,8,4442.165272626254,5,5,5,15,Champions
10113,207,5,2229.48464904006,1,3,3,7,Potential Loyalists
10114,143,4,2661.6174066926246,1,2,3,6,At Risk
10115,8,4,3463.780645082107,5,2,4,11,Loyal Customers
10116,197,2,665.1540205375618,1,1,1,3,Lost
10117,13,5,2743.716273866872,5,3,4,12,Loyal Customers
10118,124,4,1535.2194902812687,2,2,2,6,At Risk
10119,37,7,2629.695517357173,4,4,3,11,Loyal Customers
10120,4,3,1740.454654904308,5,1,2,8,Potential Loyalists
10121,67,5,2971.062762321855,3,3,4,10,Loyal Customers
10122,88,7,3306.952286087517,2,4,4,10,Loyal Customers
10123,220,4,1882.6490183476665,1,2,2,5,At Risk
10124,29,5,2584.448796527747,4,3,3,10,Loyal Customers
10125,34,3,1585.241819559017,4,1,2,7,Potential Loyalists
10126,81,11,5261.782750139807,2,5,5,12,Loyal Customers
10127,25,6,2705.021721403596,4,4,3,11,Loyal Customers
10128,142,4,1667.5455491474106,1,2,2,5,At Risk
10129,164,3,1442.4068834687612,1,1,2,4,At Risk
10130,33,8,4008.272718657848,4,5,5,14,Champions
10131,7,6,1586.8351317310253,5,4,2,11,Loyal Customers
10132,60,9,3299.4589337558623,3,5,4,12,Loyal Customers
10133,108,4,2176.675112466976,2,2,3,7,Potential Loyalists
10134,182,5,1468.681744394997,1,3,2,6,At Risk
10135,102,4,1877.7516343478733,2,2,2,6,At Risk
10136,40,5,836.2977367766365,4,3,1,8,Potential Loyalists
10137,47,4,1677.8973513515166,3,2,2,7,Potential Loyalists
10138,184,4,1606.6583553552323,1,2,2,5,At Risk
10139,89,5,1808.2339211251096,2,3,2,7,Potential Loyalists
10140,11,4,2112.801016648924,5,2,3,10,Loyal Customers
10141,3,8,3197.52323808583,5,5,4,14,Champions
10142,118,5,1932.4714719637743,2,3,2,7,Potential Loyalists
10143,31,7,3169.5861560960684,4,4,4,12,Loyal Customers
10144,56,6,3411.5581139945352,3,4,4,11,Loyal Customers
10145,366,1,792.176501503648,1,1,1,3,Lost
10146,58,6,2369.0412829584866,3,4,3,10,Loyal Customers
10147,48,3,329.16044431771587,3,1,1,5,At Risk
10148,42,4,2352.6654203354897,4,2,3,9,Potential Loyalists
10149,34,8,3677.967016972733,4,5,5,14,Champions
10150,3,5,1713.309621216366,5,3,2,10,Loyal Customers
10151,3,3,1089.2815601682385,5,1,1,7,Potential Loyalists
10152,31,6,1635.9602525471987,4,4,2,10,Loyal Customers
10153,10,6,3051.7940828353303,5,4,4,13,Champions
10154,69,7,3326.517351658701,3,4,4,11,Loyal Customers
10155,136,6,3433.0773104813998,1,4,4,9,Potential Loyalists
10156,37,4,1168.0451760628512,4,2,1,7,Potential Loyalists
10157,69,4,1471.3156155332326,3,2,2,7,Potential Loyalists
10158,96,4,1818.6107221838856,2,2,2,6,At Risk
10159,48,6,3270.150862557184,3,4,4,11,Loyal Customers
10160,261,6,2492.3730609288514,1,4,3,8,Potential Loyalists
10161,95,7,3067.139696462807,2,4,4,10,Loyal Customers
10162,64,5,3075.781822645982,3,3,4,10,Loyal Customers
10163,12,5,3353.28381525648,5,3,4,12,Loyal Customers
10164,90,4,1134.5661170190583,2,2,1,5,At Risk
10165,21,8,2865.1311770623843,4,5,4,13,Champions
10166,27,6,3731.0676298662256,4,4,5,13,Champions
10167,165,8,4347.803646790549,1,5,5,11,Loyal Customers
10168,241,3,1557.38839751686,1,1,2,4,At Risk
10169,149,5,1455.7326801305126,1,3,2,6,At Risk
10170,6,4,1958.49486484084,5,2,2,9,Potential Loyalists
10171,61,4,2035.27852226656,3,2,2,7,Potential Loyalists
10172,84,7,4794.547796111422,2,4,5,11,Loyal Customers
10173,29,3,521.7025388240354,4,1,1,6,At Risk
10174,271,4,2445.4802490382904,1,2,3,6,At Risk
10175,53,5,2849.82873897131,3,3,4,10,Loyal Customers
10176,52,6,2364.3756020567557,3,4,3,10,Loyal Customers
10177,61,2,980.2724031267104,3,1,1,5,At Risk
10178,29,6,4261.920263668873,4,4,5,13,Champions
10179,53,7,3931.381337004896,3,4,5,12,Loyal Customers
10180,19,5,2382.444495979839,5,3,3,11,Loyal Customers
10181,80,3,1574.1912227275743,2,1,2,5,At Risk
10182,67,4,1277.3809011722046,3,2,1,6,At Risk
10183,53,5,3213.9612665340865,3,3,4,10,Loyal Customers
10184,59,3,1102.217747387012,3,1,1,5,At Risk
10185,51,6,3282.451134993158,3,4,4,11,Loyal Customers
10186,47,5,2333.9078477998555,3,3,3,9,Potential Loyalists
10187,75,3,1913.28142698813,3,1,2,6,At Risk
10188,173,5,2199.5555712356063,1,3,3,7,Potential Loyalists
10189,55,4,2427.166553061831,3,2,3,8,Potential Loyalists
10190,63,4,2019.9362827532368,3,2,2,7,Potential Loyalists
10191,103,4,2142.1309986024653,2,2,3,7,Potential Loyalists
10192,38,6,3474.476275412654,4,4,4,12,Loyal Customers
10193,139,3,2201.8009343029057,1,1,3,5,At Risk
10194,24,9,5508.457667222277,4,5,5,14,Champions
10195,59,5,2596.222490309621,3,3,3,9,Potential Loyalists
10196,49,6,3280.010949533113,3,4,4,11,Loyal Customers
10197,89,3,2076.7763128444294,2,1,2,5,At Risk
10198,16,4,2945.616223336452,5,2,4,11,Loyal Customers
10199,67,5,2761.108779878391,3,3,4,10,Loyal Customers
10200,17,4,1761.398336399778,5,2,2,9,Potential Loyalists
10201,11,3,1916.6178331002936,5,1,2,8,Potential Loyalists
10202,17,12,6953.284173543165,5,5,5,15,Champions
10203,35,7,4312.201770553282,4,4,5,13,Champions
10204,18,7,3449.614991013037,5,4,4,13,Champions
10205,13,7,2402.515920675305,5,4,3,12,Loyal Customers
10206,2,5,2024.070688743614,5,3,2,10,Loyal Customers
10207,37,6,3585.5715253468707,4,4,5,13,Champions
10208,121,10,5565.07079921821,2,5,5,12,Loyal Customers
10209,24,4,1848.9025892442137,4,2,2,8,Potential Loyalists
10210,23,9,5225.389638143538,4,5,5,14,Champions
10212,26,7,3365.9325455241947,4,4,4,12,Loyal Customers
10213,202,3,1425.1371554284185,1,1,2,4,At Risk
10214,76,5,2135.669190713916,3,3,3,9,Potential Loyalists
10215,64,3,1298.549007738611,3,1,1,5,At Risk
10216,16,6,3607.570639226245,5,4,5,14,Champions
10217,51,2,967.928463348736,3,1,1,5,At Risk
10218,278,2,1081.186368087251,1,1,1,3,Lost
10219,8,5,2723.629411184711,5,3,3,11,Loyal Customers
10220,56,4,1920.8854320887208,3,2,2,7,Potential Loyalists
10221,60,6,3333.468558602757,3,4,4,11,Loyal Customers
10222,163,3,1483.79914992055,1,1,2,4,At Risk
10223,140,4,1663.5878588082894,1,2,2,5,At Risk
10224,4,6,2815.7381455892614,5,4,4,13,Champions
10225,10,6,2932.987514468409,5,4,4,13,Champions
10226,183,4,1477.8935129661731,1,2,2,5,At Risk
10227,95,8,4456.437047754432,2,5,5,12,Loyal Customers
10228,54,10,6432.591149351034,3,5,5,13,Champions
10229,93,6,4018.036325743925,2,4,5,11,Loyal Customers
10230,45,5,3734.759684985445,3,3,5,11,Loyal Customers
10231,212,5,1795.3544174646322,1,3,2,6,At Risk
10232,50,6,2173.4217188247912,3,4,3,10,Loyal Customers
10233,15,8,2523.429732197683,5,5,3,13,Champions
10234,115,7,3482.9928432584984,2,4,4,10,Loyal Customers
10235,15,8,2751.70648987352,5,5,4,14,Champions
10236,15,4,2281.7140417755,5,2,3,10,Loyal Customers
10237,148,6,2344.281944414525,1,4,3,8,Potential Loyalists
10238,12,6,3546.158453982044,5,4,4,13,Champions
10239,47,10,7232.3565914886,3,5,5,13,Champions
10240,3,7,3765.858572571386,5,4,5,14,Champions
10241,64,3,1801.9055129982596,3,1,2,6,At Risk
10242,42,6,2666.488518458383,4,4,3,11,Loyal Customers
10243,14,9,4230.062643132942,5,5,5,15,Champions
10244,42,5,3022.339700057028,4,3,4,11,Loyal Customers
10245,35,10,5976.819279963928,4,5,5,14,Champions
10246,209,2,48.26099514473084,1,1,1,3,Lost
10247,6,9,4512.21217095465,5,5,5,15,Champions
10248,182,3,1612.1488786163889,1,1,2,4,At Risk
10249,50,5,1480.8926270528584,3,3,2,8,Potential Loyalists
10250,129,6,2935.2151626789946,2,4,4,10,Loyal Customers
10251,16,5,2783.035930693664,5,3,4,12,Loyal Customers
10252,327,1,217.37598832162016,1,1,1,3,Lost
10253,113,5,1977.8912900206728,2,3,2,7,Potential Loyalists
10254,141,3,1386.4069159009744,1,1,1,3,Lost
10255,126,3,1742.6789363501975,2,1,2,5,At Risk
10256,114,6,3067.939112003208,2,4,4,10,Loyal Customers
10257,15,10,6483.753638680659,5,5,5,15,Champions
10258,22,7,2939.7697148383136,4,4,4,12,Loyal Customers
10259,111,9,4946.660764985918,2,5,5,12,Loyal Customers
10260,68,10,3633.5189685412415,3,5,5,13,Champions
10261,61,7,3853.926510444968,3,4,5,12,Loyal Customers
10262,241,1,587.8338219776384,1,1,1,3,Lost
10263,119,3,1786.6828907096017,2,1,2,5,At Risk
10264,44,4,1013.8913316593485,3,2,1,6,At Risk
10265,53,6,3046.032889494377,3,4,4,11,Loyal Customers
10266,1,4,1818.805043993216,5,2,2,9,Potential Loyalists
10267,17,6,3193.8829076655197,5,4,4,13,Champions
10268,157,6,2960.234866199026,1,4,4,9,Potential Loyalists
10269,6,4,1720.138775293888,5,2,2,9,Potential Loyalists
10270,2,7,3072.421068471506,5,4,4,13,Champions
10271,103,5,2075.6402208174222,2,3,2,7,Potential Loyalists
10272,7,6,3181.7046660007563,5,4,4,13,Champions
10273,121,6,4264.028700523058,2,4,5,11,Loyal Customers
10275,71,1,874.0642388726792,3,1,1,5,At Risk
10276,21,11,5637.856692591098,4,5,5,14,Champions
10277,14,7,2959.76993754618,5,4,4,13,Champions
10278,142,6,3002.8441849179103,1,4,4,9,Potential Loyalists
10279,49,4,2449.113104010064,3,2,3,8,Potential Loyalists
10280,73,4,1184.7534990050249,3,2,1,6,At Risk
10281,199,2,1049.5077015479933,1,1,1,3,Lost
10282,29,6,2708.7033863181778,4,4,3,11,Loyal Customers
10283,53,5,2362.601824926829,3,3,3,9,Potential Loyalists
10284,287,3,1634.8732695521908,1,1,2,4,At Risk
10285,55,8,3706.847686929123,3,5,5,13,Champions
10286,8,4,2538.8275590414373,5,2,3,10,Loyal Customers
10287,193,2,1201.892484482231,1,1,1,3,Lost
10288,115,4,1812.545944338319,2,2,2,6,At Risk
10289,7,2,796.3642734940454,5,1,1,7,Potential Loyalists
10290,2,9,4397.092548799087,5,5,5,15,Champions
10291,91,6,3583.56839935005,2,4,5,11,Loyal Customers
10292,95,3,1410.4000516131496,2,1,1,4,At Risk
10293,65,6,3612.8733711246055,3,4,5,12,Loyal Customers
10294,112,5,2190.422006609968,2,3,3,8,Potential Loyalists
10295,143,7,4166.755768260111,1,4,5,10,Loyal Customers
10296,134,4,2664.377913895745,1,2,3,6,At Risk
10297,15,4,1806.922647340269,5,2,2,9,Potential Loyalists
10298,89,4,1860.7555750322751,2,2,2,6,At Risk
10299,32,5,2470.5002259310427,4,3,3,10,Loyal Customers
10300,7,6,3325.5966780545914,5,4,4,13,Champions
10301,297,5,1394.9689107702793,1,3,1,5,At Risk
10302,32,7,2695.304118557376,4,4,3,11,Loyal Customers
10303,45,4,2075.902698415172,3,2,2,7,Potential Loyalists
10304,139,6,3501.265594596817,1,4,4,9,Potential Loyalists
10305,22,4,1576.1024516239336,4,2,2,8,Potential Loyalists
10306,51,6,2687.404145004892,3,4,3,10,Loyal Customers
10307,7,7,2526.620800123744,5,4,3,12,Loyal Customers
10308,4,7,2673.699342561812,5,4,3,12,Loyal Customers
10309,71,7,1748.0600978834536,3,4,2,9,Potential Loyalists
10310,27,6,3648.441822678092,4,4,5,13,Champions
10311,21,3,2211.6414056718445,4,1,3,8,Potential Loyalists
10312,207,1,587.9830032995106,1,1,1,3,Lost
10313,160,4,1740.835857249781,1,2,2,5,At Risk
10314,198,3,2398.1262567831936,1,1,3,5,At Risk
10315,52,3,1834.670894152136,3,1,2,6,At Risk
10316,35,4,2142.555240920333,4,2,3,9,Potential Loyalists
10317,113,3,1665.055353719786,2,1,2,5,At Risk
10318,9,6,1123.567844281951,5,4,1,10,Loyal Customers
10319,33,6,4118.04159093645,4,4,5,13,Champions
10320,57,2,768.4367038048458,3,1,1,5,At Risk
10321,56,2,1058.8883406899984,3,1,1,5,At Risk
10322,161,4,2229.959409768588,1,2,3,6,At Risk
10323,111,2,670.9560816102355,2,1,1,4,At Risk
10324,50,3,1745.2458888433785,3,1,2,6,At Risk
10325,75,5,2154.617142578634,3,3,3,9,Potential Loyalists
10326,129,8,3240.3839825374425,2,5,4,11,Loyal Customers
10327,140,3,1749.083709043175,1,1,2,4,At Risk
10328,11,5,1776.4955653853615,5,3,2,10,Loyal Customers
10329,84,8,5599.432645536905,2,5,5,12,Loyal Customers
10330,20,8,5220.462002935149,4,5,5,14,Champions
10331,80,4,2358.6034071022245,2,2,3,7,Potential Loyalists
10332,136,9,5091.933236251801,1,5,5,11,Loyal Customers
10333,111,3,1912.0052715597303,2,1,2,5,At Risk
10334,50,6,4253.211923634663,3,4,5,12,Loyal Customers
10335,64,2,923.9457377921422,3,1,1,5,At Risk
10336,3,3,940.9343043412126,5,1,1,7,Potential Loyalists
10337,83,4,1992.2425755444976,2,2,2,6,At Risk
10338,13,6,2513.3299570942795,5,4,3,12,Loyal Customers
10339,43,4,2369.318971388049,4,2,3,9,Potential Loyalists
10340,121,5,3450.608923896151,2,3,4,9,Potential Loyalists
10341,51,11,6390.070520956705,3,5,5,13,Champions
10342,226,4,1776.7673786010191,1,2,2,5,At Risk
10343,41,3,2224.0053221650915,4,1,3,8,Potential Loyalists
10344,241,5,2032.257479246904,1,3,2,6,At Risk
10345,339,2,914.2040779472884,1,1,1,3,Lost
10346,2,3,1915.4774598771487,5,1,2,8,Potential Loyalists
10347,99,3,1154.5120933326489,2,1,1,4,At Risk
10348,166,4,2116.9799133103734,1,2,3,6,At Risk
10349,20,7,4033.0748606338366,4,4,5,13,Champions
10350,52,5,1968.7881056498493,3,3,2,8,Potential Loyalists
10351,45,8,3197.248833287451,3,5,4,12,Loyal Customers
10352,197,2,1301.8948823174685,1,1,1,3,Lost
10353,48,6,2854.4848170150885,3,4,4,11,Loyal Customers
10354,124,4,2010.4016031007989,2,2,2,6,At Risk
10355,7,6,2628.7613977783776,5,4,3,12,Loyal Customers
10356,171,3,1374.1301979713112,1,1,1,3,Lost
10357,13,6,3367.71950535256,5,4,4,13,Champions
10358,94,9,3815.0146934777326,2,5,5,12,Loyal Customers
10359,52,8,3287.589386956592,3,5,4,12,Loyal Customers
10360,50,4,1899.8524569666472,3,2,2,7,Potential Loyalists
10361,84,8,4229.7906037468765,2,5,5,12,Loyal Customers
10362,224,3,1261.6907743501315,1,1,1,3,Lost
10363,77,6,4208.363575466827,2,4,5,11,Loyal Customers
10364,140,4,1519.7681759193206,1,2,2,5,At Risk
10365,48,8,3482.3364209794536,3,5,4,12,Loyal Customers
10366,52,4,2409.428929865608,3,2,3,8,Potential Loyalists
10367,356,1,551.3794971673937,1,1,1,3,Lost
10368,117,2,1197.3708949592112,2,1,1,4,At Risk
10369,17,8,4941.681053662054,5,5,5,15,Champions
10370,192,2,622.4768228240958,1,1,1,3,Lost
10371,44,6,3450.5291027074472,3,4,4,11,Loyal Customers
10372,90,4,1764.445970342581,2,2,2,6,At Risk
10373,82,6,3225.538221141514,2,4,4,10,Loyal Customers
10374,94,3,1496.7530816632022,2,1,2,5,At Risk
10375,254,2,1210.901761982193,1,1,1,3,Lost
10376,40,6,3734.957610729671,4,4,5,13,Champions
10377,37,8,3453.125580028232,4,5,4,13,Champions
10378,15,5,2334.7463826123667,5,3,3,11,Loyal Customers
10379,19,7,2984.3157432161606,5,4,4,13,Champions
10380,310,3,1295.3366659653,1,1,1,3,Lost
10381,56,1,541.3393424488817,3,1,1,5,At Risk
10382,3,3,2002.7520859543129,5,1,2,8,Potential Loyalists
10383,63,6,1567.3026577547562,3,4,2,9,Potential Loyalists
10384,95,5,1450.6556409092814,2,3,2,7,Potential Loyalists
10385,25,3,1051.5066033845003,4,1,1,6,At Risk
10386,271,2,852.1919272294272,1,1,1,3,Lost
10387,151,8,4581.8164598454605,1,5,5,11,Loyal Customers
10388,62,7,3082.312346137888,3,4,4,11,Loyal Customers
10389,4,4,2907.39011141606,5,2,4,11,Loyal Customers
10390,149,8,2300.4865184493365,1,5,3,9,Potential Loyalists
10391,85,7,3262.2452585246865,2,4,4,10,Loyal Customers
10392,1,8,4629.374132512025,5,5,5,15,Champions
10393,16,7,3163.204198233861,5,4,4,13,Champions
10394,62,8,3655.9444364432698,3,5,5,13,Champions
10395,272,3,1201.6428279844445,1,1,1,3,Lost
10396,60,4,1967.811577776098,3,2,2,7,Potential Loyalists
10397,276,1,474.43760492160914,1,1,1,3,Lost
10398,23,5,2404.585787822564,4,3,3,10,Loyal Customers
10399,20,5,3248.5611735491475,4,3,4,11,Loyal Customers
10400,13,3,1425.7692604569272,5,1,2,8,Potential Loyalists
10401,123,5,2002.8762681840076,2,3,2,7,Potential Loyalists
10402,82,4,2638.0840841595827,2,2,3,7,Potential Loyalists
10403,27,7,4224.480584296836,4,4,5,13,Champions
10404,3,7,4471.0789331480855,5,4,5,14,Champions
10405,39,8,3477.712388851653,4,5,4,13,Champions
10406,22,5,1570.1426888558613,4,3,2,9,Potential Loyalists
10407,1,4,2600.000318806063,5,2,3,10,Loyal Customers
10408,44,7,2716.1605707938165,3,4,3,10,Loyal Customers
10409,16,2,758.7121753161326,5,1,1,7,Potential Loyalists
10410,243,2,1148.0082257239526,1,1,1,3,Lost
10411,71,3,286.7883213595304,3,1,1,5,At Risk
10412,22,5,1938.2582782130823,4,3,2,9,Potential Loyalists
10413,16,5,1711.387263809951,5,3,2,10,Loyal Customers
10414,9,6,3185.6812408953056,5,4,4,13,Champions
10415,78,7,4253.057477685952,2,4,5,11,Loyal Customers
10416,66,5,1740.0795331917975,3,3,2,8,Potential Loyalists
10417,103,2,133.1359994857727,2,1,1,4,At Risk
10418,35,1,105.7479499056714,4,1,1,6,At Risk
10419,72,7,4270.77724955365,3,4,5,12,Loyal Customers
10420,80,6,3114.216829786938,2,4,4,10,Loyal Customers
10421,160,4,2247.8758643211117,1,2,3,6,At Risk
10422,39,6,1029.59813920673,4,4,1,9,Potential Loyalists
10423,32,4,2097.202207615657,4,2,3,9,Potential Loyalists
10424,103,3,1056.2961928805744,2,1,1,4,At Risk
10425,128,3,1426.1620563062183,2,1,2,5,At Risk
10426,259,6,2449.607574578069,1,4,3,8,Potential Loyalists
10427,1,2,1431.515090569278,5,1,2,8,Potential Loyalists
10428,47,3,1977.590114341756,3,1,2,6,At Risk
10430,132,3,1573.303962852223,2,1,2,5,At Risk
10431,408,1,108.17424033490518,1,1,1,3,Lost
10432,46,2,1677.8751790025358,3,1,2,6,At Risk
10433,251,4,1618.1359747651936,1,2,2,5,At Risk
10434,358,1,164.73462219326893,1,1,1,3,Lost
10435,55,6,1404.6837874067828,3,4,1,8,Potential Loyalists
10436,97,5,2409.242133054584,2,3,3,8,Potential Loyalists
10437,1,8,6191.7019654954565,5,5,5,15,Champions
10438,98,4,1599.4406352965034,2,2,2,6,At Risk
10439,362,1,670.2253154671686,1,1,1,3,Lost
10440,25,2,391.11426870059125,4,1,1,6,At Risk
10441,37,9,3621.926967952511,4,5,5,14,Champions
10442,15,6,2767.1056561209784,5,4,4,13,Champions
10443,43,6,2828.6263203861736,4,4,4,12,Loyal Customers
10444,18,9,4575.807785847103,5,5,5,15,Champions
10445,77,2,1684.5863112195057,2,1,2,5,At Risk
10446,266,3,1354.7615479794565,1,1,1,3,Lost
10447,18,7,4076.945857991048,5,4,5,14,Champions
10448,229,3,1772.0995891379198,1,1,2,4,At Risk
10449,45,10,4108.986544572736,3,5,5,13,Champions
10450,107,8,5190.556878573016,2,5,5,12,Loyal Customers
10451,36,5,1854.5306530526384,4,3,2,9,Potential Loyalists
10452,42,2,553.3338230210691,4,1,1,6,At Risk
10453,100,5,2305.168491774906,2,3,3,8,Potential Loyalists
10454,52,5,2700.151858438749,3,3,3,9,Potential Loyalists
10455,23,4,1843.8103889536492,4,2,2,8,Potential Loyalists
10456,137,6,3759.07076800158,1,4,5,10,Loyal Customers
10457,43,5,2434.5140335876654,4,3,3,10,Loyal Customers
10458,272,1,917.1151868744544,1,1,1,3,Lost
10459,43,4,1745.7830508647485,4,2,2,8,Potential Loyalists
10460,63,5,2665.1203623729766,3,3,3,9,Potential Loyalists
10461,151,4,2914.5990119828166,1,2,4,7,Potential Loyalists
10462,10,8,4543.305000958746,5,5,5,15,Champions
10463,78,3,1941.8623961387536,2,1,2,5,At Risk
10464,2,5,2611.1523943123457,5,3,3,11,Loyal Customers
10465,5,7,3241.569893452398,5,4,4,13,Champions
10466,30,3,857.15824864878,4,1,1,6,At Risk
